"","State","SO2_Annual_Average_g_m3","NO2_Annual_Average_g_m3","PM10_Annual_Average_g_m3","X","Male.Cases","Male.Deaths","Female","Female.Deaths","Total.Cases","Total.Deaths"
"1","Andhra Pradesh",5.38461538461539,13.6923076923077,69.9230769230769,3,1611413,134,1477877,102,3089290,236
"2","Assam",6.15384615384615,14,69.0769230769231,5,194341,0,120483,0,314824,0
"3","Chandigarh",2,16,102,7,24723,0,24926,0,49649,0
"4","Delhi",5,57,222,11,116015,76,82526,26,198541,102
"5","Goa",8.6,16.5,95.6,12,30925,5,30104,1,61029,6
"6","Gujarat",14.8571428571429,24.8571428571429,91.7142857142857,13,309099,0,294977,0,604076,0
"7","Haryana",13,25.5,139,14,614871,34,660164,14,1275035,48
"8","Himachal Pradesh",2.375,11.75,90.25,15,725574,101,758575,53,1484149,154
"9","Jharkhand",20.4,38,192.2,18,109697,3,95799,2,205496,5
"10","Karnataka",8.22222222222222,17.7777777777778,58.8888888888889,19,825980,139,804017,43,1629997,182
"11","Kerala",3.36363636363636,12.6363636363636,38.2727272727273,20,2313659,87,2720847,41,5034506,128
"12","Madhya Pradesh",11.125,19.625,132.375,22,305592,105,273191,77,578783,182
"13","Maharashtra",18.9090909090909,33.2727272727273,107.727272727273,23,293532,22,278415,6,571947,28
"14","Meghalaya",20.5,10.25,93,25,128951,5,166195,0,295146,5
"15","Mizoram",2,5,46,26,13032,19,13785,14,26817,33
"16","Nagaland",2,6,82.5,27,23740,0,24826,0,48566,0
"17","Puducherry",7,16,42,29,324221,1,330663,1,654884,2
"18","Punjab",9.8,24.4,142.8,30,323184,7,333360,3,656544,10
"19","Rajasthan",7.4,30,167.8,31,597325,42,492315,20,1089640,62
"20","Uttar Pradesh",14.1111111111111,30.6111111111111,155.722222222222,35,658693,118,525299,78,1183992,196
"21","West Bengal",10.7777777777778,54.6666666666667,127.777777777778,37,1038532,324,953128,204,1991660,528
