"","State","SO2_Annual_Average_g_m3","NO2_Annual_Average_g_m3","PM10_Annual_Average_g_m3","X","PM2.5_ug_m3"
"1","Andhra Pradesh",5.38461538461539,13.6923076923077,69.9230769230769,38,32
"2","Assam",6.15384615384615,14,69.0769230769231,86,32.7
"3","Bihar",5,47,174,110,90.9
"4","Chandigarh",2,16,102,134,49.8
"5","Chhattisgarh",10.75,26.25,164.333333333333,158,58.7
"6","Dadra and Nagar Haveli",8,19,24,182,31.3
"7","Daman and Diu",7,20,24,206,31.7
"8","Delhi",5,57,222,590,135.7
"9","Goa",8.6,16.5,95.6,230,31.3
"10","Gujarat",14.8571428571429,24.8571428571429,91.7142857142857,254,42.9
"11","Haryana",13,25.5,139,278,95.7
"12","Himachal Pradesh",2.375,11.75,90.25,302,31
"13","Jammu and Kashmir",5,12,107,326,35.2
"14","Jharkhand",20.4,38,192.2,350,63.9
"15","Karnataka",8.22222222222222,17.7777777777778,58.8888888888889,374,30.3
"16","Kerala",3.36363636363636,12.6363636363636,38.2727272727273,398,21
"17","Madhya Pradesh",11.125,19.625,132.375,446,53.7
"18","Maharashtra",18.9090909090909,33.2727272727273,107.727272727273,470,40.4
"19","Meghalaya",20.5,10.25,93,518,34.4
"20","Mizoram",2,5,46,542,39.9
"21","Nagaland",2,6,82.5,566,28.1
"22","Odisha",4,17.3333333333333,85.6666666666667,614,43.5
"23","Puducherry",7,16,42,638,25.8
"24","Punjab",9.8,24.4,142.8,662,74.8
"25","Rajasthan",7.4,30,167.8,686,65.2
"26","Tamil Nadu",9,22.4,78.2,734,30.4
"27","Uttar Pradesh",14.1111111111111,30.6111111111111,155.722222222222,806,98.7
"28","West Bengal",10.7777777777778,54.6666666666667,127.777777777778,854,62.3
