"","Sl_No","State","Total_Children_Acute_Respiratory_Infection","Rural_Children_Acute_Respiratory_Infection","Urban_Children_Acute_Respiratory_Infection","Total_Women_Aware_Danger_Signs_ARI","Rural_Women_Aware_Danger_Signs_ARI","Urban_Women_Aware_Danger_Signs_ARI"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"India",NA,NA,NA,NA,NA,NA
"15",NA,"Andhra Pradesh",73.7,74,73,55.6,53.1,60.9
"16",NA,"Assam",88.8,88.9,88.2,85.3,85.4,85
"17",NA,"Bihar",99.2,99.3,99,96.3,96.1,98.9
"18",NA,"Chattisgarh",97.9,97.9,98.4,92.4,90.8,98
"19",NA,"Gujarat",NA,NA,NA,NA,NA,NA
"20",NA,"Haryana",84.8,82.1,89.4,75.2,73.6,77.9
"21",NA,"Jharkhand",91.4,90.6,94.3,88.5,87.4,93
"22",NA,"Karnataka",87.8,86.6,89.5,34.6,30.3,40.9
"23",NA,"Kerala",89.4,90.6,88.1,68.4,67.9,69
"24",NA,"Madhya Pradesh",94.5,93.7,96.9,94.8,93.6,97.3
"25",NA,"Maharashtra",84.7,84.8,84.4,52.2,46.2,58.9
"26",NA,"Odisha",91.8,91.7,92.4,58.3,56.4,67.1
"27",NA,"Punjab",92.2,91.2,94.7,68.3,65.7,72.4
"28",NA,"Rajasthan",94.9,94.4,96.2,94.3,93.5,97.8
"29",NA,"Tamil Nadu",78.6,77.3,80.3,15.8,12.8,18.7
"30",NA,"Telagana",82.3,77.6,91.8,64.1,61.8,67.4
"31",NA,"Uttar Pradesh",97.8,97.8,97.9,95.5,95.5,95.2
"32",NA,"West Bengal",84.1,83.9,84.7,47.3,43.1,55.8
"33",NA,"Arunachal Pradesh",56.2,53.2,68.7,46.3,42.2,58.7
"34",NA,"Delhi",NA,NA,NA,NA,NA,NA
"35",NA,"Goa",89.4,82.1,100,65.8,63.4,67.2
"36",NA,"Himachal Pradesh",93.3,92.8,100,85.4,84.4,93.9
"37",NA,"Jammu & Kashmir",NA,NA,NA,NA,NA,NA
"38",NA,"Manipur",64.1,64.1,64.2,47,40.9,59.3
"39",NA,"Meghalaya",65,69.4,NA,22,20.9,25.6
"40",NA,"Mizoram",66.8,60.2,71.9,50.6,37.4,61.6
"41",NA,"Nagaland",34.6,28,43,66.4,64.9,69.7
"42",NA,"Sikkim",74.1,69.6,88.1,59.2,56.5,66.3
"43",NA,"Tripura",87.9,86.4,NA,61,58.2,68.4
"44",NA,"Uttarakhand",96.1,95.3,98,96.5,96.3,97.3
"45",NA,"Andaman & Nicobar Islands",80,80,80,24.8,21.6,29.8
"46",NA,"Chandigarh",100,NA,100,88.1,79.7,90.8
"47",NA,"Dadra & Nagar Haveli",NA,NA,NA,NA,NA,NA
"48",NA,"Daman & Diu",NA,NA,NA,NA,NA,NA
"49",NA,"Lakshadweep",NA,NA,NA,NA,NA,NA
"50",NA,"Puducherry",77.5,77.8,77.4,40.1,15.9,50.2
