"","State","Total_Children_Suffered_ARI","Rural_Children_Suffered_ARI","Urban_Children_Suffered_ARI","Total_Children_Treated_ARI","Rural_Children_Treated_ARI","Urban_Children_Treated_ARI","Total_Children_Treated_Government_Health_Facility","Rural_Children_Treated_Government_Health_Facility","Urban_Children_Treated_Government_Health_Facility","Total_Children_Treated_Private_Health_Facility","Rural_Children_Treated_Private_Health_Facility","Urban_Children_Treated_Private_Health_Facility"
"20","India",11.4,12,9.8,77.4,74.9,84.7,22.7,23,22.1,66.1,63.2,73.4
"21","Andhra Pradesh",6.5,6.7,5.8,80,79.3,83.2,15.9,16.2,14.8,77,76.5,79.6
"22","Assam",12,12.3,9.4,66,65.2,75.6,43.5,43.6,43.3,51.5,51.4,52.5
"23","Bihar",14.3,14.1,16.8,78.8,78.4,84.2,4.8,4.6,7.5,55.2,53,78.6
"24","Chattisgarh",5.2,5.1,5.7,74.4,73.2,79.8,27.7,29.9,18.4,62.6,58.8,78.6
"25","Gujarat",5.7,5.7,5.4,79.5,76.5,91.5,29.8,30.8,26.2,67.8,66.5,72.5
"26","Haryana",8.3,8.8,6.8,88.1,87.3,91.5,7.4,7.3,7.6,86.2,85.2,89.8
"27","Jharkhand",10.7,11,7.7,62.1,61.1,75.4,13.9,13.5,18.6,77.8,77.7,79.4
"28","Karnataka",8.7,8.6,9.1,80.9,79.8,83.3,24.8,28.2,17,73.6,70.3,81.3
"29","Kerala",11.5,11.4,11.6,89.8,89.5,90.6,36.7,39.1,28.3,63.3,60.9,71.7
"30","Madhya Pradesh",12.9,13,12.5,68.4,65.5,80.2,30.6,30.8,29.7,66.5,65.9,68.4
"31","Maharashtra",12,12.6,10.5,84.6,82.7,90,17.1,17.5,16.1,81.2,80.5,82.9
"32","Odisha",16.9,17,16.4,66.8,59.6,60.1,62.6,64.9,45.8,33.2,30.9,50
"33","Punjab",6,6.2,5.2,92.8,92.4,94.1,15.5,14.8,17.5,65.7,63.2,72.7
"34","Rajasthan",7.7,7.9,6.6,75.7,73.7,86.5,53.5,52.9,56.4,43.5,44.3,40
"35","Tamil Nadu",8.1,8.9,6.8,84.6,82.8,87.8,37.3,40.9,30.9,62.3,58.5,69.1
"36","Uttar Pradesh",16.9,17,16.2,76.6,75.2,84.6,7.4,7.3,7.9,82.1,81.5,84.8
"37","West Bengal",24.9,26.3,16.9,81.9,81.7,84.6,14.7,14.9,13.1,45.6,42,72.4
"38","Arunachal Pradesh",1.8,1.7,2.2,80.8,82.6,75.9,85.6,90.9,72.7,13.2,9.1,22.7
"39","Delhi",7.8,15.8,7.1,89.1,86.7,89.4,26.3,20.5,27.2,72.8,79.5,71.8
"40","Goa",8.1,9.1,7.1,82.1,82.1,82.2,7.4,9.4,5.4,92.6,90.6,94.6
"41","Himachal Pradesh",5.1,5.1,5.2,83.9,83,94.4,63.6,63.5,64.7,34.3,34.1,35.3
"42","Jammu & Kashmir",11.7,12.4,7.6,84.1,83.5,88.9,55.1,59.6,45.3,37.6,37.7,54.7
"43","Manipur",10.9,11.9,6.2,53.1,50.3,75.6,47.5,46.7,51.6,46.7,47.9,40.6
"44","Meghalaya",6.4,5.8,12.3,82.6,82.9,80.5,53.2,53,54.8,44,43.8,45.2
"45","Mizoram",2.1,1.5,3,59.4,52.7,68.3,58.7,51.9,63.6,39.6,44.4,36.4
"47","Sikkim",11.7,12.1,3.8,55.5,54.6,77.8,73.7,75.7,42.9,23.9,21.7,57.1
"48","Tripura",8.6,7.9,15.9,73.7,73.2,77.4,53.9,55.7,43.5,37.4,36.9,39.1
"49","Uttarakhand",8.5,9.3,3.6,69,68.2,81,35.8,37,19.4,59.2,57.7,77.4
"50","Andaman & Nicobar Islands",NA,NA,NA,81.3,83.1,73.7,NA,NA,NA,NA,NA,NA
"51","Chandigarh",NA,NA,NA,100,100,100,NA,NA,NA,NA,NA,NA
"52","Dadra & Nagar Haveli",NA,NA,NA,87.2,81.8,100,NA,NA,NA,NA,NA,NA
"53","Daman & Diu",NA,NA,NA,96.3,95.5,100,NA,NA,NA,NA,NA,NA
"54","Lakshadweep",NA,NA,NA,90.7,86.5,94.7,NA,NA,NA,NA,NA,NA
"55","Puducherry",NA,NA,NA,88.3,84.8,89.3,NA,NA,NA,NA,NA,NA
