Region,Year,Population-Weighted PM2.5 [ug/m3],Geographic-Mean PM2.5 [ug/m3],Population Coverage [%],Geographic Coverage [%],Total Population [million people],% pop >= 5 ug/m3 [%],% pop >= 10 ug/m3 [%],% pop >= 15 ug/m3 [%],% pop >= 25 ug/m3 [%],% pop >= 30 ug/m3 [%],% pop >= 35 ug/m3 [%],% pop >= 40 ug/m3 [%],% pop >= 45 ug/m3 [%],% pop >= 50 ug/m3 [%],% pop >= 55 ug/m3 [%],% pop >= 60 ug/m3 [%]
Andaman and Nicobar,1998,18.9,18.1,99.5,98.7,0.331,100.0,99.3,86.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,1999,18.9,18.3,99.5,98.7,0.331,100.0,100.0,86.7,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2000,20.7,19.9,99.5,98.7,0.331,100.0,100.0,88.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2001,21.5,20.3,99.5,98.7,0.333,100.0,100.0,88.3,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2002,22.5,21.3,99.5,98.7,0.336,100.0,100.0,88.5,24.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2003,22.3,21.3,99.5,98.7,0.338,100.0,100.0,91.8,17.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2004,25.1,23.6,99.5,98.7,0.340,100.0,100.0,97.1,67.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2005,22.3,21.1,99.5,98.7,0.343,100.0,100.0,89.2,23.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2006,25.4,23.9,99.5,98.7,0.344,100.0,100.0,95.3,69.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2007,24.3,23.1,99.5,98.7,0.346,100.0,100.0,96.4,52.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2008,25.0,23.5,99.5,98.7,0.348,100.0,100.0,95.9,64.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2009,26.1,24.5,99.5,98.7,0.349,100.0,100.0,95.4,77.7,8.1,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2010,25.3,23.9,99.5,98.7,0.351,100.0,100.0,99.6,64.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2011,25.2,23.4,99.5,98.7,0.352,100.0,100.0,94.1,69.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2012,27.6,25.6,99.5,98.7,0.353,100.0,100.0,97.7,87.4,26.3,0.2,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2013,27.0,25.2,99.5,98.7,0.354,100.0,100.0,99.0,81.9,15.1,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2014,30.0,27.9,99.5,98.7,0.355,100.0,100.0,97.9,88.4,66.0,6.4,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2015,24.0,22.6,99.6,98.7,0.356,100.0,100.0,92.5,48.9,1.4,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2016,26.5,24.5,99.6,98.7,0.357,100.0,100.0,98.9,83.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2017,23.4,21.4,99.6,98.7,0.358,100.0,100.0,92.4,33.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2018,26.0,23.7,99.6,98.7,0.359,100.0,100.0,94.7,78.9,7.3,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2019,26.3,24.3,99.6,98.7,0.359,100.0,100.0,98.1,80.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2020,25.5,23.4,99.6,98.7,0.360,100.0,100.0,98.0,70.3,3.1,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2021,22.6,20.5,99.6,98.7,0.360,100.0,99.6,92.1,17.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,1998,17.9,17.7,99.9,99.9,46.644,100.0,99.9,89.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,1999,20.0,19.7,99.9,99.9,46.644,100.0,100.0,96.8,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2000,21.5,20.7,99.9,99.9,46.644,100.0,100.0,98.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2001,23.8,23.8,99.9,99.9,47.090,100.0,100.0,100.0,28.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2002,24.0,23.7,99.9,99.9,47.535,100.0,100.0,99.7,34.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2003,24.7,24.5,99.9,99.9,47.981,100.0,100.0,100.0,46.9,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2004,25.9,25.4,99.9,99.9,48.427,100.0,100.0,100.0,67.2,3.9,0.1,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2005,27.8,27.6,99.9,99.9,48.872,100.0,100.0,100.0,86.1,22.7,1.2,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2006,28.9,28.0,99.9,99.9,49.229,100.0,100.0,100.0,89.5,40.6,0.7,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2007,30.2,29.4,99.9,99.9,49.585,100.0,100.0,100.0,95.4,57.2,2.6,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2008,31.8,30.5,99.9,99.9,49.942,100.0,100.0,100.0,97.1,74.8,14.9,0.1,0.0,0.0,0.0,0.0
Andhra Pradesh,2009,32.6,31.5,99.9,99.9,50.298,100.0,100.0,100.0,98.3,81.7,23.1,0.1,0.0,0.0,0.0,0.0
Andhra Pradesh,2010,29.9,29.5,99.9,99.9,50.655,100.0,100.0,100.0,94.7,49.8,4.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2011,32.0,31.0,99.9,99.9,50.908,100.0,100.0,100.0,98.0,76.5,16.9,0.1,0.0,0.0,0.0,0.0
Andhra Pradesh,2012,30.4,29.3,99.9,99.9,51.162,100.0,100.0,100.0,94.3,62.9,2.5,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2013,30.3,29.3,99.9,99.9,51.415,100.0,100.0,100.0,94.9,60.8,2.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2014,34.1,32.4,99.9,99.9,51.669,100.0,100.0,100.0,97.8,83.6,46.6,3.1,0.0,0.0,0.0,0.0
Andhra Pradesh,2015,29.9,28.8,99.9,99.9,51.922,100.0,100.0,100.0,88.9,53.2,5.9,0.2,0.0,0.0,0.0,0.0
Andhra Pradesh,2016,30.5,29.1,99.9,99.9,52.113,100.0,100.0,100.0,95.8,55.6,7.6,0.1,0.0,0.0,0.0,0.0
Andhra Pradesh,2017,33.6,32.2,99.9,99.9,52.304,100.0,100.0,100.0,99.0,84.8,36.3,1.4,0.0,0.0,0.0,0.0
Andhra Pradesh,2018,33.1,32.1,99.9,99.9,52.494,100.0,100.0,100.0,99.0,83.3,30.4,0.6,0.0,0.0,0.0,0.0
Andhra Pradesh,2019,30.5,29.4,99.9,99.9,52.685,100.0,100.0,100.0,91.9,63.7,5.7,0.1,0.0,0.0,0.0,0.0
Andhra Pradesh,2020,31.1,29.7,99.9,99.9,52.876,100.0,100.0,100.0,90.7,68.9,13.0,0.2,0.0,0.0,0.0,0.0
Andhra Pradesh,2021,33.3,31.8,99.9,99.9,52.876,100.0,100.0,100.0,95.9,79.5,39.8,1.5,0.1,0.0,0.0,0.0
Arunachal Pradesh,1998,10.4,8.3,100.0,100.0,1.170,99.7,44.8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,1999,12.1,10.1,100.0,100.0,1.170,100.0,79.4,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2000,12.6,10.3,100.0,100.0,1.170,99.9,74.5,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2001,14.7,13.1,100.0,100.0,1.198,100.0,97.3,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2002,13.7,12.1,100.0,100.0,1.225,100.0,93.8,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2003,14.4,12.4,100.0,100.0,1.252,100.0,94.3,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2004,14.5,12.4,100.0,100.0,1.280,100.0,94.7,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2005,15.4,13.4,100.0,100.0,1.307,100.0,98.5,50.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2006,16.7,14.0,100.0,100.0,1.336,100.0,99.0,63.2,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2007,15.8,13.2,100.0,100.0,1.366,100.0,98.1,49.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2008,15.8,13.1,100.0,100.0,1.395,100.0,98.2,53.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2009,19.0,16.1,100.0,100.0,1.424,100.0,99.7,85.0,9.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0
